id,commonName,placeType,lat,lon
BikePoints_216,"Old Brompton Road, South Kensington",BikePoint,51.490945,-0.18119
BikePoints_217,"Wormwood Street, Liverpool Street",BikePoint,51.516154,-0.082422
BikePoints_218,"St. Luke's Church, Chelsea",BikePoint,51.489716,-0.170194
BikePoints_219,"Bramham Gardens, Earl's Court",BikePoint,51.490163,-0.190393
BikePoints_220,"Chelsea Green, Chelsea",BikePoint,51.490664,-0.166485
BikePoints_221,"Horseferry Road, Westminster",BikePoint,51.494816,-0.130458
BikePoints_222,"Knightsbridge, Hyde Park",BikePoint,51.502757,-0.155349
BikePoints_223,"Rodney Road , Walworth",BikePoint,51.491484,-0.09022
BikePoints_224,"Queensway, Kensington Gardens",BikePoint,51.51031,-0.187402
BikePoints_225,"Notting Hill Gate Station, Notting Hill",BikePoint,51.509353,-0.196422
BikePoints_226,"Charles II Street, West End",BikePoint,51.508446,-0.131961
BikePoints_227,"Great Percy Street, Clerkenwell",BikePoint,51.528915,-0.11548
BikePoints_228,"St. James's Square, St. James's",BikePoint,51.507424,-0.134621
BikePoints_229,"Whitehall Place, Strand",BikePoint,51.506543,-0.123179
BikePoints_230,"Poured Lines, Bankside",BikePoint,51.506692,-0.103137
BikePoints_231,"Queen's Gate (Central), South Kensington",BikePoint,51.493967,-0.178732
BikePoints_232,"Carey Street, Holborn",BikePoint,51.51501,-0.112753
BikePoints_233,"Pall Mall East, West End",BikePoint,51.50777,-0.130699
BikePoints_234,"Liverpool Road (N1 Centre), Angel",BikePoint,51.534504,-0.106992
BikePoints_235,"Kennington Road, Vauxhall",BikePoint,51.495718,-0.110889
BikePoints_236,"Fashion Street, Whitechapel",BikePoint,51.51838,-0.073438
BikePoints_238,"Frampton Street, Paddington",BikePoint,51.523353,-0.175116
BikePoints_239,"Warren Street Station, Euston",BikePoint,51.524438,-0.138019
BikePoints_240,"Colombo Street, Southwark",BikePoint,51.505459,-0.105692
BikePoints_242,"Beaumont Street, Marylebone",BikePoint,51.522008,-0.151359
