date_key,date,year,month,day,weekday,hour
20240103,2024-01-03 08:50:00,2024,1,3,Wednesday,8
20240103,2024-01-03 09:55:00,2024,1,3,Wednesday,9
20240103,2024-01-03 10:01:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:03:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:04:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:05:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:11:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:39:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:40:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:41:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:43:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:46:00,2024,1,3,Wednesday,10
20240103,2024-01-03 10:47:00,2024,1,3,Wednesday,10
20240103,2024-01-03 11:00:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:01:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:04:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:07:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:08:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:10:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:12:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:16:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:19:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:21:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:24:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:25:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:29:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:40:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:46:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:48:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:50:00,2024,1,3,Wednesday,11
20240103,2024-01-03 11:55:00,2024,1,3,Wednesday,11
20240103,2024-01-03 12:02:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:05:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:06:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:09:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:15:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:42:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:45:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:46:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:48:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:52:00,2024,1,3,Wednesday,12
20240103,2024-01-03 12:53:00,2024,1,3,Wednesday,12
20240103,2024-01-03 13:02:00,2024,1,3,Wednesday,13
20240103,2024-01-03 13:13:00,2024,1,3,Wednesday,13
20240103,2024-01-03 13:18:00,2024,1,3,Wednesday,13
20240103,2024-01-03 13:24:00,2024,1,3,Wednesday,13
20240103,2024-01-03 13:27:00,2024,1,3,Wednesday,13
20240103,2024-01-03 13:38:00,2024,1,3,Wednesday,13
20240103,2024-01-03 13:42:00,2024,1,3,Wednesday,13
20240103,2024-01-03 13:55:00,2024,1,3,Wednesday,13
20240103,2024-01-03 14:01:00,2024,1,3,Wednesday,14
20240103,2024-01-03 14:03:00,2024,1,3,Wednesday,14
20240103,2024-01-03 15:01:00,2024,1,3,Wednesday,15
20240103,2024-01-03 16:35:00,2024,1,3,Wednesday,16
20240103,2024-01-03 16:36:00,2024,1,3,Wednesday,16
20240103,2024-01-03 16:59:00,2024,1,3,Wednesday,16
20240103,2024-01-03 17:01:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:16:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:20:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:31:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:39:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:44:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:45:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:46:00,2024,1,3,Wednesday,17
20240103,2024-01-03 17:53:00,2024,1,3,Wednesday,17
20240103,2024-01-03 18:01:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:08:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:09:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:11:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:22:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:24:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:38:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:49:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:50:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:57:00,2024,1,3,Wednesday,18
20240103,2024-01-03 18:59:00,2024,1,3,Wednesday,18
20240103,2024-01-03 19:22:00,2024,1,3,Wednesday,19
20240103,2024-01-03 19:48:00,2024,1,3,Wednesday,19
20240103,2024-01-03 19:52:00,2024,1,3,Wednesday,19
20240103,2024-01-03 20:07:00,2024,1,3,Wednesday,20
20240103,2024-01-03 20:35:00,2024,1,3,Wednesday,20
20240103,2024-01-03 20:49:00,2024,1,3,Wednesday,20
20240103,2024-01-03 21:00:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:03:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:14:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:25:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:26:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:29:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:32:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:37:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:51:00,2024,1,3,Wednesday,21
20240103,2024-01-03 21:52:00,2024,1,3,Wednesday,21
20240103,2024-01-03 23:00:00,2024,1,3,Wednesday,23
20240103,2024-01-03 23:10:00,2024,1,3,Wednesday,23
20240103,2024-01-03 23:19:00,2024,1,3,Wednesday,23
20240104,2024-01-04 00:00:00,2024,1,4,Thursday,0
20240104,2024-01-04 00:10:00,2024,1,4,Thursday,0
20240104,2024-01-04 00:20:00,2024,1,4,Thursday,0
20240104,2024-01-04 02:05:00,2024,1,4,Thursday,2
20240104,2024-01-04 04:20:00,2024,1,4,Thursday,4
20240104,2024-01-04 04:35:00,2024,1,4,Thursday,4
20240104,2024-01-04 04:40:00,2024,1,4,Thursday,4
20240104,2024-01-04 05:05:00,2024,1,4,Thursday,5
20240104,2024-01-04 06:30:00,2024,1,4,Thursday,6
20240104,2024-01-04 06:58:00,2024,1,4,Thursday,6
20240104,2024-01-04 07:06:00,2024,1,4,Thursday,7
20240104,2024-01-04 08:00:00,2024,1,4,Thursday,8
20240104,2024-01-04 08:13:00,2024,1,4,Thursday,8
20240104,2024-01-04 08:24:00,2024,1,4,Thursday,8
20240104,2024-01-04 09:05:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:17:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:25:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:28:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:30:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:31:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:33:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:44:00,2024,1,4,Thursday,9
20240104,2024-01-04 09:55:00,2024,1,4,Thursday,9
20240104,2024-01-04 10:10:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:11:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:12:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:14:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:15:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:17:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:19:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:24:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:25:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:26:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:30:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:32:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:34:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:39:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:41:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:49:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:51:00,2024,1,4,Thursday,10
20240104,2024-01-04 10:52:00,2024,1,4,Thursday,10
20240104,2024-01-04 11:12:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:15:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:20:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:24:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:35:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:36:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:37:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:43:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:51:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:56:00,2024,1,4,Thursday,11
20240104,2024-01-04 11:59:00,2024,1,4,Thursday,11
20240104,2024-01-04 12:00:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:05:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:07:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:09:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:12:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:19:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:20:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:21:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:25:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:27:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:28:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:29:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:32:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:35:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:36:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:49:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:52:00,2024,1,4,Thursday,12
20240104,2024-01-04 12:55:00,2024,1,4,Thursday,12
20240104,2024-01-04 13:04:00,2024,1,4,Thursday,13
20240104,2024-01-04 13:09:00,2024,1,4,Thursday,13
20240104,2024-01-04 13:25:00,2024,1,4,Thursday,13
20240104,2024-01-04 13:30:00,2024,1,4,Thursday,13
20240104,2024-01-04 13:34:00,2024,1,4,Thursday,13
20240104,2024-01-04 13:40:00,2024,1,4,Thursday,13
20240104,2024-01-04 13:50:00,2024,1,4,Thursday,13
20240104,2024-01-04 13:55:00,2024,1,4,Thursday,13
20240104,2024-01-04 14:12:00,2024,1,4,Thursday,14
20240104,2024-01-04 14:21:00,2024,1,4,Thursday,14
20240104,2024-01-04 14:33:00,2024,1,4,Thursday,14
20240104,2024-01-04 15:44:00,2024,1,4,Thursday,15
20240104,2024-01-04 16:10:00,2024,1,4,Thursday,16
20240104,2024-01-04 16:38:00,2024,1,4,Thursday,16
20240104,2024-01-04 16:40:00,2024,1,4,Thursday,16
20240104,2024-01-04 16:45:00,2024,1,4,Thursday,16
20240104,2024-01-04 16:59:00,2024,1,4,Thursday,16
20240104,2024-01-04 17:02:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:03:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:07:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:08:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:26:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:30:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:43:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:44:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:56:00,2024,1,4,Thursday,17
20240104,2024-01-04 17:59:00,2024,1,4,Thursday,17
20240104,2024-01-04 18:00:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:09:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:12:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:21:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:35:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:36:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:40:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:42:00,2024,1,4,Thursday,18
20240104,2024-01-04 18:47:00,2024,1,4,Thursday,18
