ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
125,1,CENTRO,CALL. TOLEDO / CALL. CALATRAVA,,,105,
126,18,VILLA DE VALLECAS,CALL. GONZALEZ DAVILA / CTRA. VILLAVERDE A VALLECAS,,,1,
127,2,ARGANZUELA,PLAZA. LEGAZPI / CALL. MAESTRO ARBOS,,,2,
128,13,PUENTE DE VALLECAS,AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC,,,61,
129,11,CARABANCHEL,CALL. VIA / CALL. PORTALEGRE,,,1,
130,20,SAN BLAS-CANILLEJAS,"CALL. YECORA, 2A",,,2A,
131,20,SAN BLAS-CANILLEJAS,"AVDA. ARCENTALES, 7",,,7,
132,9,MONCLOA-ARAVACA,"AUTOVIA A-6 KM 4,9",,,+00600E,
133,3,RETIRO,PLAZA. INDEPENDENCIA / CALL. ALFONSO XII,,,8,
134,15,CIUDAD LINEAL,"CALL. EMILIO FERRARI, 52",,,52,
135,8,FUENCARRAL-EL PARDO,CALLE SAN MODESTO CON PARKING HOSPITAL H. RAMON Y CAJAL,,,50,
136,11,CARABANCHEL,"CALL. REAL, 2",,,2,
137,15,CIUDAD LINEAL,CALL. ARTURO SORIA / CALL. HERNANDEZ DE TEJADA,,,93,
138,6,TETUÁN,"CALL. ORENSE, 4",,,4,
139,1,CENTRO,"CALL. TOLEDO, 111",,,111,
140,15,CIUDAD LINEAL,"CALL. MISTERIOS, 6",,,6,
141,8,FUENCARRAL-EL PARDO,CMNO. GANAPANES / CALL. LA BAÑEZA,,,35,
142,17,VILLAVERDE,"AVDA. REAL DE PINTO, 142",,,142,
143,11,CARABANCHEL,"AUTOV. A-42, +00600S",,,+00600S,
144,2,ARGANZUELA,CALL. MENDEZ ALVARO / CALL. RETAMA,,,83,
145,10,LATINA,CALL. MAQUEDA / CALL. QUERO,,,117,
146,1,CENTRO,"CALL. MAYOR, 25",,,25,
147,20,SAN BLAS-CANILLEJAS,"CALL. SAMANIEGO, 3",,,3,
148,5,CHAMARTÍN,"AUTOV. M-30, INTERIOR PK 1.500",,,01NC50,
149,4,SALAMANCA,"AUTOV. M-30, 06NC09",,,06NC09,
150,1,CENTRO,"CALL. BARQUILLO, 6",,,6,
151,14,MORATALAZ,"CALL. EUGENIO D'ORS, 2",,,2,
152,1,CENTRO,"CALL. SAN BERNARDO, 10",,,10,
153,19,VICÁLVARO,AVDA. DAROCA / CALL. CASALARREINA,,,303,
154,4,SALAMANCA,"CALL. SERRANO, 29",,,29,
155,3,RETIRO,"AVDA. MEDITERRANEO, 4",,,4,
156,1,CENTRO,CALL. GRAN VIA / CALL. TUDESCOS,,,46,
157,12,USERA,CALL. SIMCA / CALL. TALBOT,,,4,
158,14,MORATALAZ,"AUTOV. M-23, 0",,,0,
159,1,CENTRO,"CALL. ABADA, 7",,,7,
160,12,USERA,"AUTOV. A-42, +00600E",,,+00600E,
161,17,VILLAVERDE,"CALL. ROCAFORT, 145",,,145,
162,15,CIUDAD LINEAL,CALL. LUIS RUIZ / CALL. FRANCISCO RIOJA,,,24,
163,5,CHAMARTÍN,"CALL. COSTA RICA, 24",,,24,
164,2,ARGANZUELA,PASEO. DELICIAS / CALL. ANCORA,,,40,
165,14,MORATALAZ,"CALL. LUIS DE HOYOS SAINZ, 106",,,106,
166,13,PUENTE DE VALLECAS,CALL. CONVENIO / AVDA. SAN DIEGO,,,53,
167,9,MONCLOA-ARAVACA,"GTA. PATINES, 0",,,0,
168,14,MORATALAZ,AUTOV. M-23 / AUTOV. M-23,,,0,
169,9,MONCLOA-ARAVACA,AVDA. JUAN DE HERRERA / PLAZA. CARDENAL CISNEROS,,,2,
170,2,ARGANZUELA,"CALL. NEBULOSAS, 2A",,,2A,
171,8,FUENCARRAL-EL PARDO,CALL. NUESTRA SEÑORA DE VALVERDE / CALL. ISLA PARAGUA,,,37,
172,4,SALAMANCA,CALL. SERRANO / CALL. CONDE DE ARANDA,,,10,
173,6,TETUÁN,"GTA. ROCIO DURCAL, 0",,,0,
174,11,CARABANCHEL,AVDA. NUESTRA SEÑORA DE VALVANERA / CALL. ALGODRE,,,102,
175,7,CHAMBERÍ,"CALL. ALBERTO AGUILERA, 64",,,64,
176,16,HORTALEZA,CALL. MAR ADRIATICO / CALL. AYACUCHO,,,1,
177,16,HORTALEZA,"CALL. TOMAS REDONDO, 10",,,10,
178,13,PUENTE DE VALLECAS,AVDA. BUENOS AIRES / AVDA. ALBUFERA,,,1,
179,15,CIUDAD LINEAL,"CALL. PELOPONESO, 9",,,9,
180,6,TETUÁN,CALL. MARQUES DE VIANA / CALL. GENCIANA,,,81,
181,8,FUENCARRAL-EL PARDO,CALL. RISCOS DE POLANCO / CALL. VALLE DE PINARES LLANOS,,,2,
182,1,CENTRO,"CALL. GRAN VIA, 28",,,28,
183,5,CHAMARTÍN,CALL. VELAZQUEZ / CALL. JOAQUIN COSTA,,,147,
184,1,CENTRO,"CALL. GRAN VIA, 32",,,32,
185,9,MONCLOA-ARAVACA,"CALL. SIGÜENZA, 2",,,2,
186,1,CENTRO,CALL. GRAN VIA / CALL. ALCALA,,,2,
187,5,CHAMARTÍN,"CALL. SERRANO, 139",,,139,
188,9,MONCLOA-ARAVACA,AVENIDA DEL DOCTOR FEDERICO RUBIO Y GALI 112,,,112,
189,8,FUENCARRAL-EL PARDO,"AUTOV. M-30, 29NC90",,,29NC90,
190,1,CENTRO,CALL. PRADO / CALL. ECHEGARAY,,,3,
191,17,VILLAVERDE,"CALL. ARCILLA, 7",,,7,
192,4,SALAMANCA,"AVDA. AMERICA, 2",,,2,
193,1,CENTRO,"CALL. SANTO TOME, 4",,,4,
194,4,SALAMANCA,CALLE ROBERTO DOMINGO,,,1A,
195,1,CENTRO,"PLAZA. SANTA ANA, 6",,,6,
196,5,CHAMARTÍN,CALL. PRINCIPE DE VERGARA / PLAZA. REPUBLICA DOMINICANA,,,268,
197,16,HORTALEZA,CALL. JOSE ANTONIO FERNANDEZ ORDOÑEZ / CALL. GUSTAVO PEREZ PUIG,,,7,
198,4,SALAMANCA,"AUTOV. M-30, 07NL20",,,07NL20,
199,6,TETUÁN,CALL. RAIMUNDO FERNANDEZ VILLAVERDE / CALL. EDGAR NEVILLE,,,47,
200,13,PUENTE DE VALLECAS,AVDA. SAN DIEGO / CALL. PUERTO DE LA BONAIGUA,,,122,
201,20,SAN BLAS-CANILLEJAS,AVDA. CANILLEJAS A VICALVARO / AUTOV. M-40,,,167,
202,1,CENTRO,CALL. SILVA / CALL. SAN BERNARDO,,,1,
203,17,VILLAVERDE,AVDA. LOS ROSALES / CALL. MATACHEL,,,90,
204,18,VILLA DE VALLECAS,AVDA. MADRID MERCAMADRID / AVDA. LEGAZPI MERCAMADRID,,,1,
205,4,SALAMANCA,"CALL. VELAZQUEZ, 85",,,85,
206,11,CARABANCHEL,"CALL. GENERAL RICARDOS, 49",,,49,
207,13,PUENTE DE VALLECAS,AVDA. BUENOS AIRES / CALL. PEDRO LABORDE,,,67,
208,5,CHAMARTÍN,"CALL. JOAQUIN COSTA, 14 TÚNEL",,,14,
209,11,CARABANCHEL,"AVDA. POBLADOS, 151",,,151,
210,17,VILLAVERDE,CALL. RESINA / CALL. SAN DALMACIO,,,1,
211,4,SALAMANCA,CALL. DOCTOR ESQUERDO / CALL. GOYA,,,14,
212,1,CENTRO,CALL. JOVELLANOS / CALL. LOS MADRAZO,,,1,
213,16,HORTALEZA,"AVDA. JUAN ANTONIO SAMARANCH, 64",,,64,
214,7,CHAMBERÍ,"CALL. VALLEHERMOSO, 20",,,20,
